ChEBI_ID,Name,Definition,Stars,Category
CHEBI:132030,glycoursodeoxycholate,A <em>N</em>-acylglycinate that is the conjugate base of glycoursodeoxycholic acid. obtained by deprotonation of the carboxy group; major species at pH 7.3.,,Metabolite
CHEBI:132049,N-tetracosanoyltaurine(1-),A fatty acid-taurine conjugate obtained by deprotonation of the sulfonate group of <em>N</em>-tetracosanoyltaurine; major species at pH 7.3.,,Metabolite
CHEBI:132083,18(S)-HEPE(1-),"An 18-HEPE(1−) that is the conjugate base of 18(<i>S</i>)-HEPE, arising from deprotonation of the carboxylic acid group; major species at pH 7.3.",,Metabolite
CHEBI:132087,15(S)-HEPE(1-),"A HEPE(1−) that is the conjugate base of 15(<i>S</i>)-HEPE, arising from deprotonation of the carboxylic acid group; major species at pH 7.3.",,Metabolite
CHEBI:132105,O(3)-(N-acetyl-beta-D-galactosaminyl-(1->4)-beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl)-L-serine(1-) residue,An organic anionic group obtained by deprotonation of the glucuronosyl carboxy group of <em>O</em><small><sup>3</small></sup>-(<em>N</em>-acetyl-β-<small>D</small>-glucosaminyl-(1→4)-β-<small>D</small>-glucuronosyl-(1→3)-β-<small>D</small>-galactosyl-(1→3)-β-<small>D</small>-galactosyl-(1→4)-β-<small>D</small>-xylosyl)-<small>L</small>-serine residue.,,Metabolite
CHEBI:132124,"1,4-benzoquinones","Any member of the class of benzoquinones that is 1,4-benzoquinone or its <em>C</em>-substituted derivatives.",,Metabolite
CHEBI:132127,hepoxilin A3(1-),"A hepoxilin anion that is the conjugate base of hepoxilin A<small><sub>3</sub></small>, arising from deprotonation of the carboxylic acid group; major species at pH 7.3.",,Metabolite
CHEBI:132988,bradykinin(2+),A peptide cation obtained by deprotonation of the carboxy group and protonation of the amino and guanidino groups of bradykinin; major species at pH 7.3.,,Metabolite
CHEBI:133000,pregnenolone sulfate(1-),"A steroid sulfate oxoanion that is the conjugate base of pregnenolone sulfate, obtained by deprotonation of the sulfo group; major species at pH 7.3.",,Metabolite
CHEBI:133003,androsterone sulfate(1-),"A steroid sulfate oxoanion that is the conjugate base of androsterone sulfate, obtained by deprotonation of the sulfo group; major species at pH 7.3.",,Metabolite
CHEBI:133084,prostaglandin G1(1-),"A prostaglandin carboxylic acid anion that is the conjugate base of prostaglandin G<small><sub>1</sub></small>, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:133133,prostaglandin G3(1-),"A prostaglandin carboxylic acid anion that is the conjugate base of prostaglandin G<small><sub>3</sub></small>, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:133134,prostaglandin H3(1-),"A prostaglandin carboxylic acid anion that is the conjugate base of prostaglandin H<small><sub>3</sub></small>, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:133147,Phe-Arg(1+),A peptide cation obtained by deprotonation of the carboxy terminus and protonation of the side-chain guanidino group and the amino terminus of Phe-Arg; major species at pH 7.3.,,Metabolite
CHEBI:133369,N-acetylglycyl residue,An <em>N</em>-acyl-α-aminoacyl group derived from <em>N</em>-acetylglycine,,Metabolite
CHEBI:133371,N-acetyl-L-valyl residue,An <em>N</em>-acyl-α-aminoacyl group derived from <em>N</em>-acetyl-<small>L</small>-valine.,,Metabolite
CHEBI:133372,N-acetyl-L-cysteinyl residue,An <em>N</em>-acyl-α-aminoacyl group derived from <em>N</em>-acetyl-<small>L</small>-cysteine.,,Metabolite
CHEBI:133375,N-acetyl-L-threonyl residue,An <em>N</em>-acyl-α-aminoacyl group derived from <em>N</em>-acetyl-<small>L</small>-threonine.,,Metabolite
CHEBI:133524,dopamine 3-O-sulfate zwitterion,A zwitterion obtained by transfer of a proton from the sulfonyl to the amino group of dopamine 3-<em>O</em>-sulfate; major species at pH 7.3.,,Neurotransmitter
CHEBI:133529,dopamine 4-O-sulfate zwitterion,A zwitterion obtained by transfer of a proton from the sulfonyl to the amino group of dopamine 4-<em>O</em>-sulfate; major species at pH 7.3.,,Neurotransmitter
CHEBI:133819,13-HODE(1-),"A HODE(1−) that is the conjugate base of 13-HODE, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:133820,9-HODE(1-),"A HODE(1−) that is the conjugate base of 9-HODE, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:133940,lithocholate sulfate(2-),A steroid sulfate oxoanion obtained by deprotonation of the carboxylic acid and sulfate functions of lithocholic acid sulfate; major species at pH 7.3.,,Metabolite
CHEBI:133992,N-oleoylglycinate,An <em>N</em>-acylglycinate resulting from the deprotonation of the carboxy group of <em>N</em>-oleoylglycine. It is believed to be an intermediate in oleamide biosynthesis. The major species at pH 7.3.,,Metabolite
CHEBI:134020,N-oleoyl-L-phenylalaninate,An <em>N</em>-acyl-<small>L</small>-α-amino acid anion resulting from the deprotonation of the carboxy group of <em>N</em>-oleoyl-<small>L</small>-phenylalanine. The major species at pH 7.3.,,Metabolite
CHEBI:134022,N-arachidonoyl-L-phenylalaninate,An <em>N</em>-acyl-<small>L</small>-α-amino acid anion resulting from the deprotonation of the carboxy group of <em>N</em>-arachidonoyl-<small>L</small>-phenylalanine. The major species at pH 7.3.,,Metabolite
CHEBI:134031,N-oleoyl-L-serinate,An <em>N</em>-acyl-<small>L</small>-α-amino acid anion resulting from the deprotonation of the carboxy group of <em>N</em>-oleoyl-<small>L</small>-serine. The major species at pH 7.3.,,Metabolite
CHEBI:134033,N-oleoyl-L-glutaminate,An <em>N</em>-acyl-<small>L</small>-α-amino acid anion resulting from the deprotonation of the carboxy group of <em>N</em>-oleoyl-<small>L</small>-glutamine. The major species at pH 7.3.,,Metabolite
CHEBI:134035,N-oleoyl-L-leucinate,An <em>N</em>-acyl-<small>L</small>-α-amino acid anion resulting from the deprotonation of the carboxy group of <em>N</em>-oleoyl-<small>L</small>-leucine. The major species at pH 7.3.,,Metabolite
CHEBI:134344,ergothioneine(1+),An α-amino-acid cation obtained by protonation of the imidazole ring of ergothioneine. It is the major microspecies at pH 7.3 (according to Marvin v 6.2.0.).,,Ion
CHEBI:134626,"N-[omega-(9R,10R)-epoxy-(13R)-hydroxy-(11E)-octadecenoyloxy]acyl-beta-D-glucosyl-(1<->1)-sphingosine","A β-<small>D</small>-glucosylceramide in which a β-<small>D</small>-glucosyl residue is attached to the primary hydroxyl group of <em>N</em>-[ω-(9<i>R</i>,10<i>R</i>)-epoxy-(13<i>R</i>)-hydroxy-(11<i>E</i>)-octadecadienoyloxy]acyl-sphing-4<i>E</i>-enine.",,Metabolite
CHEBI:136117,"14,15-epoxy-(5Z,8Z,11Z)-icosatrienoyl-CoA(4-)","A polyunsaturated fatty acyl-CoA(4−) arising from deprotonation of the phosphate and diphosphate functions of 14,15-epoxy-(5<i>Z</i>,8<i>Z</i>,11<i>Z</i>)-icosatrienoyl-CoA; major species at pH 7.3.",,Metabolite
CHEBI:136407,"5-hydroxy-(6E,8Z,11Z,14Z)-icosatetraenoyl-CoA(4-)","A polyunsaturated fatty acyl-CoA(4−) arising from deprotonation of the phosphate and diphosphate functions of 5-hydroxy-(6<i>E</i>,8<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-icosatetraenoyl-CoA; major species at pH 7.3.",,Metabolite
CHEBI:136408,"12-hydroxy-(5Z,8Z,10E,14Z)-icosatetraenoyl-CoA(4-)","A polyunsaturated fatty acyl-CoA(4−) arising from deprotonation of the phosphate and diphosphate functions of 12-hydroxy-(5<i>Z</i>,8<i>Z</i>,10<i>E</i>,14<i>Z</i>)-icosatetraenoyl-CoA; major species at pH 7.3.",,Metabolite
CHEBI:136409,"15-hydroxy-(5Z,8Z,11Z,13E)-icosatetraenoyl-CoA(4-)","A polyunsaturated fatty acyl-CoA(4−) arising from deprotonation of the phosphate and diphosphate functions of 15-hydroxy-(5<i>Z</i>,8<i>Z</i>,11<i>Z</i>,13<i>E</i>)-icosatetraenoyl-CoA; major species at pH 7.3.",,Metabolite
CHEBI:136412,5'-end 2'-deoxyribonucleotide(2-) residue,An organic anionic group obtained by deprotonation of the phosphate OH groups of any 5'-end 2'-deoxyribonucleotide residue; major species at pH 7.3.,,Metabolite
CHEBI:136416,5'-end 2'-deoxyribonucleoside residue,A nucleoside residue derived from any 2'-deoxyribonucleoside having the linkage point at position 3'.,,Metabolite
CHEBI:136545,alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminide(1-),A carbohydrate acid derivative anion obtained by deprotonation of the carboxy group of any α-<em>N</em>-acetylneuraminyl-(2→3)-β-<small>D</small>-galactosyl-(1→4)-<em>N</em>-acetyl-β-<small>D</small>-glucosaminide; major species ar pH 7.3.,,Metabolite
CHEBI:136566,(24S)-hydroxycholesterol 24-sulfate(1-),A steroid sulfate oxoanion obtained by deprotonation of the sulfo group of (24<i>S</i>)-hydroxycholesterol 24-sulfate.,,Metabolite
CHEBI:136567,(24S)-hydroxycholesterol 3-sulfate(1-),A steroid sulfate oxoanion obtained by deprotonation of the sulfo group of (24<i>S</i>)-hydroxycholesterol 3-sulfate.,,Metabolite
CHEBI:136568,"(24S)-hydroxycholesterol 3,24-disulfate(2-)","A steroid sulfate oxoanion obtained by deprotonation of the sulfo groups of (24<i>S</i>)-hydroxycholesterol 3,24-disulfate.",,Metabolite
CHEBI:136655,13(R)-HODE(1-),"A 13-HODE(1−) that is the conjugate base of 13(<i>R</i>)-HODE, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:137031,19-hydroxy-5alpha-dihydrotestosterone,An androstanoid that is 5α-dihydrotestosterone carrying an additional hydroxy susbstituent at position 19.,,Metabolite
CHEBI:137032,19-oxo-5alpha-dihydrotestosterone,An androstanoid that is 5α-dihydrotestosterone carrying an additional oxo susbstituent at position 19.,,Metabolite
CHEBI:13705,acetoacetate,"A 3-oxo monocarboxylic acid anion that is the conjugate base of acetoacetic acid, arising from deprotonation of the carboxy group.",,Metabolite
CHEBI:137110,17beta-hydroxy-5alpha-estr-1(10)-en-3-one,"A 3-oxo-5α-steroid that is 5α-estrane which is substituted by an oxo group at position 3, a hydroxy group at the 17β position, and which has a double bond between positions 1 and 10. It is a 19-norsteroid arising from successive oxidation of dihydrotestosterone at <em>C</em><small><sub>19</sub></small>.",,Metabolite
CHEBI:137125,myristamide,A fatty amide of myristic acid.,,Metabolite
CHEBI:137582,"2-[(11R)-hydroxy-(5Z,8Z,12E,14Z)-icosatetraenoyl]-sn-glycero-3-phosphocholine","A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as (11<i>R</i>)-hydroxy-(5<i>Z</i>,8<i>Z</i>,12<i>E</i>,14<i>Z</i>)-icosatetraenoyl.",,Metabolite
CHEBI:137583,"2-[(15R)-hydroxy-(5Z,8Z,11Z,13E)-icosatetraenoyl]-sn-glycero-3-phosphocholine","A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as (15<i>R</i>)-hydroxy-(5<i>Z</i>,8<i>Z</i>,11<i>Z</i>,13<i>E</i>)-icosatetraenoyl.",,Metabolite
CHEBI:137584,"2-[(15S)-hydroxy-(5Z,8Z,11Z,13E)-icosatetraenoyl]-sn-glycero-3-phosphocholine","A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as (15<i>S</i>)-hydroxy-(5<i>Z</i>,8<i>Z</i>,11<i>Z</i>,13<i>E</i>)-icosatetraenoyl.",,Metabolite
CHEBI:137688,(25R)-26-hydroxycholestanol,A cholestanoid that is cholestanol which is substituted by a hydroxy group at position 26 and has <i>R</i>-configuration at position 25.,,Metabolite
CHEBI:137830,arachidonoyl amine,A primary fatty amide resulting from the formal condensation of the carboxy group of arachidonic acid with ammonia.,,Metabolite
CHEBI:137954,N(6)-[(E)-but-2-enoyl]-L-lysine residue,An <em>N</em><small><sup>6</small></sup>-acyl-<small>L</small>-lysine residue derived from <em>N</em><small><sup>6</small></sup>-[(<i>E</i>)-but-2-enoyl]-<small>L</small>-lysine.,,Metabolite
CHEBI:138002,"(5Z,8S,9S,11Z,14Z)-8,9-dihydroxyicosatrienoate","A (5<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-8,9-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>S</i>,9<i>S</i>,11<i>Z</i>,14<i>Z</i>)-8,9-dihydroxyicosatrienoic acid; major species at pH 7.3.",,Metabolite
CHEBI:138003,"(5Z,8Z,11Z,14R,15R)-14,15-dihydroxyicosatrienoate","A (5<i>Z</i>,8<i>Z</i>,11<i>Z</i>)-14,15-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>Z</i>,11<i>Z</i>,14<i>R</i>,15<i>R</i>)-14,15-dihydroxyicosatrienoic acid; major species at pH 7.3.",,Metabolite
CHEBI:138004,"(5Z,8Z,11R,12R,14Z)-11,12-dihydroxyicosatrienoate","A (5<i>Z</i>,8<i>Z</i>,14<i>Z</i>)-11,12-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>Z</i>,11<i>R</i>,12<i>R</i>,14<i>Z</i>)-11,12-dihydroxyicosatrienoic acid; major species at pH 7.3.",,Metabolite
CHEBI:138005,"(5Z,8Z,11S,12S,14Z)-11,12-dihydroxyicosatrienoate","A (5<i>Z</i>,8<i>Z</i>,14<i>Z</i>)-11,12-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>Z</i>,11<i>S</i>,12<i>S</i>,14<i>Z</i>)-11,12-dihydroxyicosatrienoic acid; major species at pH 7.3.",,Metabolite
CHEBI:138006,"(5Z,8Z,11Z,14S,15S)-14,15-dihydroxyicosatrienoate","A (5<i>Z</i>,8<i>Z</i>,11<i>Z</i>)-14,15-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>Z</i>,11<i>Z</i>,14<i>S</i>,15<i>S</i>)-14,15-dihydroxyicosatrienoic acid; major species at pH 7.3.",,Metabolite
CHEBI:138008,"(5Z,8R,9R,11Z,14Z)-8,9-dihydroxyicosatrienoate","A (5<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-8,9-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>R</i>,9<i>R</i>,11<i>Z</i>,14<i>Z</i>)-8,9-dihydroxyicosatrienoic acid; major species at pH 7.3.",,Metabolite
CHEBI:138093,N-acyl-aromatic L-alpha-amino-acid anion,An <em>N</em>-acyl-<small>L</small>-α-amino acid anion obtained by deprotonation of the carboxy group of any <em>N</em>-acyl-aromatic <small>L</small>-α-amino-acid; major species at pH 7.3.,,Ion
CHEBI:138098,"2-[(9S,11R)-epidioxy-(15S)-hydroperoxy-(5Z,13E)-prostadienoyl]-sn-glycero-3-phosphoethanolamine zwitterion","A 2-acyl-<em>sn</em>-glycero-3-phosphoethanolamine zwitterion obtained by transfer of a proton from the phosphate to the amino group of 2-[(9<i>S</i>,11<i>R</i>)-epidioxy-15(<i>S</i>)-hydroperoxy-(5<i>Z</i>,13<i>E</i>)-prostadienoyl]-<em>sn</em>-glycero-3-phosphoethanolamine; major species at pH 7.3.",,Ion
CHEBI:138099,"2-[(9S,11R)-epidioxy-(15S)-hydroxy-(5Z,13E)-prostadienoyl]-sn-glycero-3-phosphoethanolamine zwitterion","A 2-acyl-<em>sn</em>-glycero-3-phosphoethanolamine zwitterion obtained by transfer of a proton from the phosphate to the amino group of 2-[(9<i>S</i>,11<i>R</i>)-epidioxy-(15<i>S</i>)-hydroxy-(5<i>Z</i>,13<i>E</i>)-prostadienoyl]-<em>sn</em>-glycero-3-phosphoethanolamine; major species at pH 7.3.",,Ion
CHEBI:138100,"2-[(9S,11R)-epidioxy-(15S)-hydroperoxy-(5Z,13E)-prostadienoyl]-sn-glycero-3- phosphocholine","A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as (9<i>S</i>,11<i>R</i>)-epidioxy-(15<i>S</i>)-hydroperoxy-(5<i>Z</i>,13<i>E</i>)-prostadienoyl.",,Metabolite
CHEBI:138101,"2-[(9S,11R)-epidioxy-(15S)-hydroxy-(5Z,13E)-prostadienoyl]-sn-glycero-3- phosphocholine",A prostanoid-LPC that is the ammonium betaine of a 2-(prostaglandin H<small><sub>2</sub></small>)-<em>sn</em>-glycero-3-phosphocholine arising from deprotonation of the phosphate OH group; major species at pH 7.3.,,Metabolite
CHEBI:138191,3'-end 3'-(N-acyl-L-alpha-aminoacyl)adenylyl(1-) residue,An organic anionic group obtained by deprotonation of the phosphate OH group of any 3'-end 3'-(<em>N</em>-acyl-<small>L</small>-α-aminoacyl)adenylyl residue; major species at pH 7.3.,,Metabolite
CHEBI:138195,"1,2-diheptanoyl-sn-glycero-3-phosphocholine",A phosphatidylcholine 14:0 in which both acyl groups are specified as heptanoyl.,,Metabolite
CHEBI:138266,2-heptanoyl-sn-glycero-3-phosphocholine,A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as heptanoyl.,,Metabolite
CHEBI:138278,5'-end GTP-ribonucleotide(5-) residue,An organic anionic group obtained by deprotonation of the phosphate and triphosphate OH groups of any 5'-end GTP-ribonucleotide residue; major species at pH 7.3.,,Cofactor
CHEBI:138284,5'-end ribonucleoside residue,A nucleoside residue derived from any ribonucleoside having the linkage point at position 3'.,,Metabolite
CHEBI:138442,O(3)-(beta-D-GlcA-(1->3)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine(2-) residue,An α-amino-acid residue anion obtained by deprotonation of the carboxy groups of <em>O</em><small><sup>3</small></sup>-(β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-Gal-(1→3)-β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-Xyl)-<small>L</small>-serine residue.,,Metabolite
CHEBI:138443,O(3)-(beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine(2-) residue,An α-amino-acid residue anion obtained by deprotonation of the carboxy groups of <em>O</em><small><sup>3</small></sup>-(β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-Gal-(1→3)-β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-Xyl)-<small>L</small>-serine residue,,Metabolite
CHEBI:138444,O(3)-(beta-D-GlcA-(1->3)-poly[beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)]-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine polyanionic residue,An α-amino-acid residue anion obtained by deprotonation of the carboxy groups of <em>O</em><small><sup>3</small></sup>-(β-<small>D</small>-GlcA-(1→3)-poly[β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)]-β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-Gal-(1→3)-β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-Xyl)-<small>L</small>-serine residue.,,Ion
CHEBI:138445,O(3)-(poly[beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)]-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine polyanionic residue,An α-amino-acid residue anion obtained by deprotonation of the carboxy groups of <em>O</em><small><sup>3</small></sup>-(poly[β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)]-β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-Gal-(1→3)-β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-Xyl)-<small>L</small>-serine residue,,Ion
CHEBI:138724,all-trans-retinyl heptanoate,An <i>all</i>-<i>trans</i>-retinyl ester obtained by formal condensation of the carboxy group of heptanoic acid with the hydroxy group of <i>all</i>-<i>trans</i>-retinol.,,Metabolite
CHEBI:139150,"(S,S)-bis-(3-oleoylglycero)-1-phosphate(1-)","A 3,3'-lysobisphosphatidate obtained by deprotonation of the phosphate OH group of (<i>S</i>,<i>S</i>)-bis-(3-oleoylglycero)-1-phosphate; major species at pH 7.3.",,Metabolite
CHEBI:139161,1-(4-methoxyphenyl)-N-methyl-N-[(3-methyloxetan-3-yl)methyl]methanamine(1+),An ammonium ion obtained by protonation of the amino group of 1-(4-methoxyphenyl)-<em>N</em>-methyl-<em>N</em>-[(3-methyloxetan-3-yl)methyl]methanamine. The major species at pH 7.3.,,Metabolite
CHEBI:139164,"2-{[(4-methoxybenzyl)(methyl)amino]methyl}-2-methylpropane-1,3-diol(1+)","An ammonium ion resulting from the protonation of the amino group of 2-{[(4-methoxybenzyl)(methyl)amino]methyl}-2-methylpropane-1,3-diol.",,Metabolite
CHEBI:139252,[8)-alpha-Neu5Ac-(2->]n polyanion,A polyanionic polymer obtained by deprotonation of the carboxy groups of [8)-α-Neu5Ac-(2→]<small><sub><em>n</em></sub></small>; major species at pH 7.3.,,Ion
CHEBI:139573,"N-acyl-(4E,14Z)-sphingadienine","A ceramide obtained by formal condensation of the carboxy group of any fatty acid with the amino group of (4<i>E</i>,14<i>Z</i>)-sphingadienine.",,Metabolite
CHEBI:140082,2-octanoyl-sn-glycero-3-phosphocholine,A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as octanoyl.,,Metabolite
CHEBI:140084,all-trans-retinyl octanoate,An <i>all</i>-<i>trans</i>-retinyl ester obtained by formal condensation of the carboxy group of octanoic acid with the hydroxy group of <i>all</i>-<i>trans</i>-retinol.,,Metabolite
CHEBI:140088,2-dodecanoyl-sn-glycero-3-phosphocholine,A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as dodecanoyl.,,Metabolite
CHEBI:140089,all-trans-retinyl dodecanoate,An <i>all</i>-<i>trans</i>-retinyl ester obtained by formal condensation of the carboxy group of dodecanoic (lauric) acid with the hydroxy group of <i>all</i>-<i>trans</i>-retinol.,,Metabolite
CHEBI:140308,alpha-N-acetylneuraminyl-(2->3)-beta-D-galactoside(1-),"An <em>N</em>-acetylneuraminate that is the conjugate base of any α-<em>N</em>-acetylneuraminyl-(2→3)-β-<small>D</small>-galactoside, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:140309,alpha-N-acetylneuraminyl-(2->8)-alpha-N-acetylneuraminyl-(2->3)-beta-D-galactoside(2-),An <em>N</em>-acetylneuraminate obtained by deprotonation of the carboxy groups of any α-<em>N</em>-acetylneuraminyl-(2→8)-α-<em>N</em>-acetylneuraminyl-(2→3)-β-<small>D</small>-galactoside; major species at pH 7.3.,,Metabolite
CHEBI:140317,phenyl sulfate oxoanion,An aryl sulfate oxoanion obtained by deprotonation of the sulfo group of any phenyl sulfate; major species at pH 7.3.,,Ion
CHEBI:140395,poly(nucleoside 5'-monophosphate) polyanion,An ionic polymer obtained by deprotonation of the phosphate OH groups of any poly(nucleoside 5'-monophosphate).,,Ion
CHEBI:140594,ethanediol derivative,A substituted ethane carrying two hydroxy groups.,,Metabolite
CHEBI:140607,S-(ADP-D-ribosyl)-L-cysteine(2-) residue,An <small>L</small>-α-amino acid residue derived from <em>S</em>-(ADP-<small>D</small>-ribosyl)-<small>L</small>-cysteine.,,Metabolite
CHEBI:140699,3-sulfinatopyruvate(2-),A 2-oxo monocarboxylic acid anion  obtained by deprotonation of the carboxy and sulfino groups of 3-sulfinylpyruvic acid. Major microspecies at pH 7.3.,,Metabolite
CHEBI:140994,4-nitrophenyl sulfate,An aryl sulfate oxoanion resulting from the deprotonation of the sulfooxy group of 4-nitrophenyl hydrogen sulfate. The major microspecies at pH 7.3.,,Metabolite
CHEBI:141128,O-acetyl-L-serine residue,An <small>L</small>-α-amino acid residue derived from <em>O</em>-acetyl-<small>L</small>-serine.,,Metabolite
CHEBI:141843,(5S)-5-hydroxy-L-lysinium residue,An <small>L</small>-lysinium residue that is substituted by an hydroxy group at position 5 (the 5<i>S</i> stereoisomer); major microspecies at pH 7.3.,,Metabolite
CHEBI:142491,R-H,Any organic molecular entity that contains at least one activated carbon-hydrogen (C-H) bond. R can be any aliphatic or aromatic group.,,Metabolite
