ChEBI_ID,Name,Definition,Stars
CHEBI:18390,N-acyl-beta-D-galactosylsphingosine,An <em>N</em>-acyl-<small>D</small>-galactosylsphingosine in which the anomeric configuration of the galactosyl residue is β; sphingosine substituted at the O-1 position by a β-<small>D</small>-galactosyl group and at the N-2 position by an acyl group.,
CHEBI:18420,magnesium(2+),,
CHEBI:18421,superoxide,,
CHEBI:184385,N6-[(R)-S8-glutaryldihydrolipoyl]-L-lysine(1-) residue,,
CHEBI:189099,"1D-myo-inositol 3,4,6-trisphosphate(6-)",,
CHEBI:189631,alpha-L-fucosyl-L-threonyl residue,,
CHEBI:189632,alpha-L-fucosyl-L-seryl residue,,
CHEBI:189633,N-acetyl-beta-D-glucosaminyl-(1->3)-alpha-L-fucosyl-L-seryl residue,,
CHEBI:189634,N-acetyl-beta-D-glucosaminyl-(1->3)-alpha-L-fucosyl-L-threonyl residue,,
CHEBI:189868,Met-enkephalin zwitterion,A peptide zwitterion obtained by transfer of a proton from the carboxy to the amino terminus of Met-enkephalin. Major species at pH 7.3.,
CHEBI:189869,Met-enkephalin-Arg-Phe(1+),,
CHEBI:189870,Arg-Phe(1+),A peptide cation obtained by deprotonation of the carboxy terminus and protonation of the side-chain guanidino group and the amino terminus of Arg-Phe; major species at pH 7.3.,
CHEBI:190126,"2-deoxy-alpha-D-ribose 1,5-bisphosphate(4-)",,
CHEBI:190127,"alpha-D-mannose 1,6-bisphosphate(4-)",,
CHEBI:190135,di-mu-sulfido-diiron,,
CHEBI:190689,Leu-enkephalin zwitterion,A peptide zwitterion obtained by transfer of a proton from the carboxy to the amino terminus of Leu-enkephalin. Major species at pH 7.3.,
CHEBI:190692,substance P(3+),A peptide cation obtained from the protonation of the amino and guanidino groups of substance P; major species at pH 7.3.,
CHEBI:190693,substance P(1-9)(2+),,
CHEBI:190694,substance P(1-8)(2+),,
CHEBI:190696,substance P(1-6)(2+),,
CHEBI:190697,L-Phe-L-Phe-Gly-L-Leu-L-Met-NH2(1+),"A peptide cation that is the conjugate acid of <small>L</small>-Phe-<small>L</small>-Phe-Gly-<small>L</small>-Leu-<small>L</small>-Met-NH<small><sub>2</sub></small>, arising from the protonation of the <em>N</em>-terminal amino group. Major species at pH 7.3.",
CHEBI:190699,Gly-L-Leu-L-Met-NH2(1+),"A peptide cation that is the conjugate acid of Gly-<small>L</small>-Leu-<small>L</small>-Met-NH<small><sub>2</sub></small>, arising from the protonation of the <em>N</em>-terminal amino group. Major species at pH 7.3.",
CHEBI:190700,L-Leu-L-Met-NH2(1+),"A peptide cation that is the conjugate acid of <small>L</small>-Leu-<small>L</small>-Met-NH<small><sub>2</sub></small>, arising from the protonation of the <em>N</em>-terminal amino group. Major species at pH 7.3.",
CHEBI:190701,goralatide(1-),A peptide anion obtained by removal of protons from the two carboxy groups as well as protonation of the primary amino group of goralatide; major species at pH 7.3.,
CHEBI:190702,N-acetyl-L-seryl-L-aspartate(2-),A peptide anion obtained by deprotonation of the two carboxy groups of <em>N</em>-acetyl-<small>L</small>-seryl-<small>L</small>-aspartic acid; major species at pH 7.3.,
CHEBI:190703,Lys-Pro(1+),A peptide cation obtained by deprotonation of the carboxy terminus and protonation of the side-chain amino group and the amino terminus of Lys-Pro; major species at pH 7.3.,
CHEBI:190704,neurotensin(1-11)(1+),,
CHEBI:190706,Ile-Leu zwitterion,A dipeptide zwitterion obtained by transfer of a proton from the carboxy to the amino terminus of Ile-Leu.,
CHEBI:190708,Tyr-Gly-Gly zwitterion,A tripeptide zwitterion resulting from the transfer of a proton from the carboxy group to the amino group of Tyr-Gly-Gly. Major microspecies at pH 7.3.,
CHEBI:190709,Phe-Met zwitterion,A dipeptide zwitterion obtained by transfer of a proton from the carboxy to the amino terminus of Phe-Met.,
CHEBI:190710,Phe-Leu zwitterion,A dipeptide zwitterion obtained by transfer of a proton from the carboxy to the amino terminus of Phe-Leu.,
CHEBI:19168,17-oxo steroid,Any  oxo steroid carrying the oxo group at position 17.,
CHEBI:194182,"all-trans-13,14-dihydroretinal",,
CHEBI:194183,"all-trans-13,14-dihydroretinoate","A retinoid anion that is the conjugate base of <em>all</em>-<i>trans</i>-13,14-dihydroretinoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.",
CHEBI:194498,"15-deoxy-Delta(12,14)-prostaglandin J2-S-glutathione conjugate(2-)","A prostanoid anion obtained by deprotonation of the three carboxy groups and protonation of the glutamyl α-amino group of 15-deoxy-Δ<small><sup>12,14</small></sup>-prostaglandin J<small><sub>2</sub></small>-<em>S</em>-glutathione conjugate; major species at pH 7.3.",
CHEBI:195246,N-acyl-1-deoxysphingosine,,
CHEBI:195278,N-acyl-sphing-14Z-enine,,
CHEBI:195366,(6R)-10-formyltetrahydrofolate(2-),,
CHEBI:195622,3alpha-sulfodeoxycholate(2-),,
CHEBI:195624,3alpha-sulfoglycodeoxycholate(2-),,
CHEBI:195625,3alpha-sulfotaurodeoxycholate(2-),,
CHEBI:197334,alpha-N-acetylneuraminyl-(2->8)-alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminide(2-),,
CHEBI:197339,alpha-N-acetylneuraminyl-(2->8)-alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->4)-N-acetyl-D-glucosamine 6-sulfate(3-),,
CHEBI:197340,alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->4)-N-acetyl-D-glucosamine 6-sulfate(2-),,
CHEBI:203600,"1D-myo-inositol 1,4,5-trisphosphate(6-)","Hexaanion of 1<small>D</small>-<i>myo</i>-inositol 1,4,5-trisphosphate arising from glabal deprotonation of the phosphate OH groups; major species at pH 7.3.",
CHEBI:21291,L-fuconate,,
CHEBI:2150,5beta-dihydrotestosterone,A 17β-hydroxyandrostan-3-one that has β- configuration at position 5. It is a metabolite of testosterone.,
CHEBI:225237,2-phenylethanaminium,The cation obtained by protonation of the amino group of 2-phenylethylamine.,
CHEBI:225238,benzylaminium,The conjugate acid of benzylamine; major product at pH 7.3.,
CHEBI:22801,beta-D-glucosyl-N-acylsphingosine,A <small>D</small>-glucosyl-<em>N</em>-acylsphingosine in which the glucosyl head group has β-configuration at the anomeric centre.,
CHEBI:2288,"7alpha,12alpha-dihydroxy-5beta-cholestan-3-one",A 3-oxo-5β-steroid that is 5β-cholestan-3-one bearing two additional hydroxy substituents at positions 7α and 12α.,
CHEBI:228802,alpha-D-galactosyl-D-galactosyl-D-glucosylsphingosine,,
CHEBI:228803,alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosylsphingoid base,,
CHEBI:228804,primary methyl ammonium ion,An ammonium ion derivative resulting from the protonation of the nitrogen atom of a primary methyl amino compound. Major species at pH 7.3.,
CHEBI:2290,7alpha-hydroxy-5beta-cholestan-3-one,A 3-oxo-5β-steroid that is 5β-cholestan-3-one bearing an additional hydroxy substituent at position 7α .,
CHEBI:231527,N(6)-[(S)-lactoyl]-L-lysine residue,An <em>N</em><small><sup>6</small></sup>-acyl-<small>L</small>-lysine residue that has (<i>S</i>)-lactoyl as the <em>N</em><small><sup>6</small></sup>-acyl group.,
CHEBI:231870,ribonucleotidyl-2'-3'-cyclophospho-GMP(2-),An organophosphate oxoanion obtained by deprotonation of the phosphate OH groups of any ribonucleotidyl-2'-3'-cyclophospho-GMP; major species at pH 7.3.,
CHEBI:231871,5'-end 5'-hydroxy ribonucleotidyl-ribonucleotide(1-),An organic anionic group obtained by deprotonation of the phosphate OH group of any 5'-hydroxy-ribonucleotidyl-ribonucleotide residue.,
CHEBI:231873,5'-end 5'-hydroxy-deoxyribonucleotidyl-deoxyribonucleotide(1-) residue,An organic anionic group obtained by deprotonation of the phosphate OH group of any 5'-end 5'-hydroxy-deoxyribonucleotidyl-deoxyribonucleotide residue; major species at pH 7.3.,
CHEBI:232325,"N-[omega-(9R,10R)-epoxy-13-keto-(11E)-octadecenoyloxy]acyl-beta-D-glucosyl-(1<->1)-sphingosine",,
CHEBI:232393,"(R,S)-glycero-3-phospho-(3'-acyl-1'-glycerol)(1-)","An anionic phospholipid obtained by deprotonation of the phosphate OH group of any (<i>R</i>,<i>S</i>)-glycero-3-phospho-(3'-acyl-1'-glycerol); major species at pH 7.3.",
CHEBI:232394,"(R,S)-glycero-1-phospho-(3'-(9Z-octadecenoyl)-1'-glycerol)(1-)","An anionic phospholipid obtained by deprotonation of the phosphate OH group of  (<i>R</i>,<i>S</i>)-glycero-1-phospho-(3'-(9<i>Z</i>-octadecenoyl)-1'-glycerol); major species at pH 7.3.",
CHEBI:233042,serotonin O-sulfate zwitterion,,
CHEBI:233043,(R)-adrenaline 4'-O-sulfate zwitterion,,
CHEBI:233044,(R)-noradrenaline 4'-O-sulfate zwitterion,,
CHEBI:23378,copper cation,,
CHEBI:233973,N(6)-[(R)-S(8)-isopentanoyldihydrolipoyl]-L-lysine residue,,
CHEBI:233974,N(6)-{(R)-S(8)-[(S)-2-methylbutanoyl]dihydrolipoyl}-L-lysine residue,,
CHEBI:234448,11-oxo-5alpha-dihydrotestosterone,An androstanoid that is 5α-dihydrotestosterone carrying an additional oxo substituent at position 11.,
CHEBI:234449,"11-keto-5alpha-androstane-3alpha,17beta-diol",An androstanoid that is 5α-androstane carrying an oxo group at position 11 and two hydroxy groups at the 3α and 17β positions.,
CHEBI:234464,alpha-D-fructofuranose 6-phosphate(2-),,
CHEBI:234465,beta-D-mannopyranose 6-phosphate(2-),,
CHEBI:234529,ursodeoxycholate 3-sulfate(2-),,
CHEBI:234530,tauroursodeoxycholate 3-sulfate(2-),,
CHEBI:234531,glycoursodeoxycholate 3-sulfate(2-),,
CHEBI:234532,chenodeoxycholate 3-sulfate(2-),,
CHEBI:234533,glycochenodeoxycholate 3-sulfate(2-),,
CHEBI:23614,deoxycholate,,
CHEBI:23858,behenate,"A straight-chain saturated fatty acid anion that is the conjugate base of behenic acid, arising from deprotonation of the carboxylic acid group.",
CHEBI:24646,hydroquinones,Benzenediols that have the hydroxy substituents in the 1- and 4-positions.,
CHEBI:24875,iron cation,,
CHEBI:2495,adrenosterone,"A 3-oxo Δ<small><sup>4</small></sup>-steroid that is androst-4-ene carrying three oxo-substituents at positions 3, 11 and 17.",
CHEBI:25629,octadecanoate,A fatty acid anion 18:0 that is the conjugate base of octadecanoic acid (stearic acid). Stearates have a variety of uses in the pharmaceutical industry.,
CHEBI:25646,octanoate,A straight-chain saturated fatty acid anion that is the conjugate base of octanoic acid (caprylic acid); believed to block adipogenesis.,
CHEBI:2700,anandamide,An <em>N</em>-acylethanolamine 20:4 resulting from the formal condensation of carboxy group of arachidonic acid with the amino group of ethanolamine.,
CHEBI:27468,"5,6-dihydrothymine","A pyrimidone obtained by formal addition of hydrogen across the 5,6-position of thymine.",
CHEBI:27576,"19-hydroxyandrost-4-ene-3,17-dione",,
CHEBI:27584,aldosterone,"A pregnane-based steroidal hormone produced by the outer-section (zona glomerulosa) of the adrenal cortex in the adrenal gland, and acts on the distal tubules and collecting ducts of the kidney to cause the conservation of sodium, secretion of potassium, increased water retention, and increased blood pressure. The overall effect of aldosterone is to increase reabsorption of ions and water in the kidney.",
CHEBI:27689,decanoate,A fatty acid anion 10:0 that is the conjugate base of decanoic acid.,
CHEBI:27978,"3,4-dihydroxyphenylacetaldehyde",A phenylacetaldehyde in which the 3 and 4 positions of the phenyl group are substituted by hydroxy groups.,
CHEBI:28113,"24,25-dihydrolanosterol",A 3β-sterol formed from lanosterol by reduction across the C-24‒C-25 double bond.,
CHEBI:28433,phyllohydroquinone,,
CHEBI:28477,"7alpha,12alpha-dihydroxycholest-4-en-3-one",,
CHEBI:28610,1-O-oleoyl-sn-glycero-3-phosphocholine,An oleoyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group at position 1 is (9<i>Z</i>)-octadecenoyl (oleoyl) and the hydroxy group at position 2 is unsubstituted.,
CHEBI:28644,2-oxopentanoate,"A 2-oxo monocarboxylic acid anion that is the conjugate base of 2-oxopentanoic acid, obtained by deprotonation of the carboxy group.",
CHEBI:28689,dehydroepiandrosterone,An androstanoid that is androst-5-ene substituted by a β-hydroxy group at position 3 and an oxo group at position 17. It is a naturally occurring steroid hormone produced by the adrenal glands.,
CHEBI:28868,fatty acid anion,"The conjugate base of a fatty acid, arising from deprotonation of the carboxylic acid group of the corresponding fatty acid.",
CHEBI:28938,ammonium,An onium cation obtained by protonation of ammonia.,
CHEBI:28940,calciol,"A hydroxy seco-steroid that is (5<i>Z</i>,7<i>E</i>)-9,10-secocholesta-5,7,10(19)-triene in which the <em>pro</em>-<i>S</i> hydrogen at position 3 has been replaced by a hydroxy group. It is the inactive form of vitamin D<small><sub>3</sub></small>, being hydroxylated in the liver to calcidiol (25-hydroxyvitamin D<small><sub>3</sub></small>), which is then further hydroxylated in the kidney to give calcitriol (1,25-dihydroxyvitamin D<small><sub>3</sub></small>), the active hormone.",
CHEBI:28952,"5alpha-pregnane-3,20-dione",A C<small><sub>21</sub></small>-steroid hormone that is 5α-pregnane substituted by oxo groups at positions 3 and 20. It is a metabolite of progestrone.,
CHEBI:29033,iron(2+),,
CHEBI:29034,iron(3+),,
CHEBI:29035,manganese(2+),A divalent metal cation in which the metal is manganese.,
CHEBI:29036,copper(2+),An ion of copper carrying a double positive charge.,
CHEBI:29067,carboxylic acid anion,The conjugate base formed when the carboxy group of a carboxylic acid is deprotonated.,
CHEBI:29101,sodium(1+),A monoatomic monocation obtained from sodium.,
CHEBI:29103,potassium(1+),A monoatomic monocation obtained from potassium.,
CHEBI:29105,zinc(2+),,
CHEBI:29108,calcium(2+),,
CHEBI:29256,thiol,"An organosulfur compound in which a thiol group, ‒SH, is attached to a carbon atom of any aliphatic or aromatic moiety.",
CHEBI:29744,lithocholate,A bile acid anion that is the conjugate base of lithocholic acid.,
CHEBI:29746,glycocholate,"A cholanic acid conjugate anion that is the conjugate base of glycocholic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.",
CHEBI:29747,cholate,A bile acid anion that is the conjugate base of cholic acid.,
CHEBI:29806,fumarate(2-),A C4-dicarboxylate that is the <i>E</i>-isomer of but-2-enedioate(2−),
CHEBI:29917,thiol group,,
CHEBI:29919,hydrosulfide,,
CHEBI:29950,L-cysteine residue,,
CHEBI:29959,quinolinate(2-),,
CHEBI:29965,L-argininium residue,,
CHEBI:29969,L-lysinium residue,,
CHEBI:29985,L-glutamate(1-),"An α-amino-acid anion that is the conjugate base of <small>L</small>-glutamic acid, having anionic carboxy groups and a cationic amino group",
CHEBI:29986,D-glutamate(1-),"An α-amino-acid anion that is the conjugate base of <small>D</small>-glutamic acid, having anionic carboxy groups and a cationic amino group",
CHEBI:29990,D-aspartate(1-),An aspartate(1−) that is the conjugate base of <small>D</small>-aspartic acid.,
CHEBI:29991,L-aspartate(1-),An aspartate(1−) that is the  conjugate base of <small>L</small>-aspartic acid.,
CHEBI:29999,L-serine residue,A serine residue that has <small>L</small> configuration.,
CHEBI:30013,L-threonine residue,,
CHEBI:30031,succinate(2-),A dicarboxylic acid dianion resulting from the removal of a proton from both of the carboxy groups of succinic acid.,
CHEBI:30089,acetate,A monocarboxylic acid anion resulting from the removal of a proton from the carboxy group of acetic acid.,
CHEBI:30154,"5beta-pregnane-3,20-dione",A C<small><sub>21</sub></small>-steroid that is 5β-pregnane with oxo groups at positions 3 and 20.,
CHEBI:30245,linoleate,An octadecadienoate with <i>cis</i>- double bonds at the 9- and 12- positions; the conjugate base of linoleic acid.,
CHEBI:30413,heme,A heme is any tetrapyrrolic chelate of iron.,
CHEBI:30616,ATP(4-),A nucleoside triphosphate(4−) obtained by global deprotonation of the triphosphate OH groups of ATP; major species present at pH 7.3.,
CHEBI:30780,maleate(2-),A C4-dicarboxylate that is the <i>Z</i>-isomer of but-2-enedioate(2−),
CHEBI:30807,tetradecanoate,A long-chain fatty acid anion that is the conjugate base of myristic acid; major species at pH 7.3.,
CHEBI:30823,oleate,"A C<small><sub>18</sub></small>, long straight-chain monounsaturated fatty acid anion; and the conjugate base of oleic acid, arising from deprotonation of the carboxylic acid group.",
CHEBI:30825,elaidate,A long-chain fatty acid anion that is the conjugate base of elaidic acid; shown to exert detrimental effects on mitochondrial lipid composition and function.,
CHEBI:30879,alcohol,"A compound in which a hydroxy group, ‒OH, is attached to a saturated carbon atom.",
CHEBI:30909,1-alkyl-sn-glycero-3-phosphocholine,A glycerophosphocholine that consists of <small>L</small>-α-glycerophosphocholine carrying an unspecified alkyl substituent at position 1.,
CHEBI:31014,tetracosanoate,"A straight-chain saturated fatty acid anion that is the conjugate base of tetracosanoic acid (lignoceric acid), formed by deprotonation of the carboxy group.",
CHEBI:31488,N-acylsphinganine,A ceramide consisting of sphinganine in which one of the amino hydrogens is substituted by a fatty acyl group.,
CHEBI:32360,icosanoate,A long-chain fatty acid anion resulting from the removal of a proton from the carboxy group of icosanoic acid (arachidic acid).,
CHEBI:32372,palmitoleate,A hexadec-9-enoate that is the conjugate base of palmitoleic acid; major species at pH 7.3.,
CHEBI:32375,petroselinate,An unsaturated fatty acid anion resulting from the deprotonation of the carboxy group of petroselinic acid. The major species at pH 7.3.,
CHEBI:32387,alpha-linolenate,"A linolenate that is the conjugate base of α-linolenic acid, arising from deprotonation of the carboxylic acid group.",
CHEBI:32392,(15Z)-tetracosenoate,"A tetracosenoate that is the conjugate base of nervonic acid, arising from deprotonation of the carboxylic acid group.",
CHEBI:32395,arachidonate,A long-chain fatty acid anion resulting from the removal of a proton from the carboxy group of arachidonic acid.,
CHEBI:32426,gondoate,"A very long-chain fatty acid anion that is the conjugate base of gondoic acid, formed by deprotonation of the carboxylic acid group.",
CHEBI:32551,L-lysinium(1+),An optically active form of lysinium having <small>L</small>-configuration.,
CHEBI:32682,L-argininium(1+),The <small>L</small>-enantiomer of argininium(1+).,
CHEBI:327995,tyraminium,An ammonium ion that is the conjugate acid of tyramine; major species at pH 7.3.,
CHEBI:32955,epoxide,Any cyclic ether in which the oxygen atom forms part of a 3-membered ring.,
CHEBI:32966,"beta-D-fructofuranose 1,6-bisphosphate(4-)","A <small>D</small>-fructofuranose 1,6-bisphosphate(4−) that is the conjugate base of β-<small>D</small>-fructofuranose 1,6-bisphosphate.",
CHEBI:33019,diphosphate(3-),A trivalent inorganic anion obtained by removal of all three protons from diphosphoric acid.,
CHEBI:33308,carboxylic ester,"An ester of a carboxylic acid, R<small><sup>1</small></sup>C(=O)OR<small><sup>2</small></sup>, where R<small><sup>1</small></sup> = H or organyl and R<small><sup>2</small></sup> = organyl.",
CHEBI:33384,L-serine zwitterion,A serine zwitterion obtained by transfer of a proton from the carboxy to the amino group of <small>L</small>-serine.,
CHEBI:33409,methylarsonate(1-),,
CHEBI:33737,di-mu-sulfido-diiron(2+),,
CHEBI:33738,di-mu-sulfido-diiron(1+),,
CHEBI:33853,phenols,Organic aromatic compounds having one or more hydroxy groups attached to a benzene or other arene ring.,
CHEBI:34071,1-arachidonoyl-sn-glycerol,A 1-acyl-sn-glycerol where arachidonoyl forms the 1-acyl group.,
CHEBI:34133,11-oxotestosterone,A 3-oxo Δ<small><sup>4</small></sup>-steroid that is testosterone carrying an additional oxo substituent at position 11.,
CHEBI:34134,11-Ketoandrosterone,,
CHEBI:34310,(24S)-24-hydroxycholesterol,A 24-hydroxycholesterol that has <i>S</i> configuration at position 24. It is the major metabolic breakdown product of cholesterol in the brain.,
CHEBI:34463,"5alpha-Androstane-3,11,17-trione",,
CHEBI:34584,boldenone,"An  3-oxo-Δ<small><sup>1</small></sup>,Δ<small><sup>4</small></sup>-steroid substituted by an oxo group at position 3 and a β-hydroxy group at position 17. It is an  anabolic androgenic steroid that has been developed for veterinary use.",
CHEBI:35020,tributyrin,A triglyceride obtained by formal acylation of the three hydroxy groups of glycerol by butyric acid.,
CHEBI:350546,serotonin(1+),An ammonium ion that is the conjugate acid of serotonin; major species at pH 7.3.,
CHEBI:35177,2-oxohexanoate,A medium-chain fatty acid anion that is the conjugate base of 2-oxohexanoic acid.,
CHEBI:35235,L-cysteine zwitterion,,
CHEBI:35247,D-serine zwitterion,A serine zwitterion obtained by transfer of a proton from the carboxy to the amino group of <small>D</small>-serine.,
CHEBI:35287,acylcholine,A choline ester formed from choline and a carboxylic acid.,
CHEBI:35291,all-trans-retinoate,A retinoate that is the conjugate base of <i>all</i>-<i>trans</i>-retinoic acid.,
CHEBI:35343,17beta-hydroxy steroid,A 17-hydroxy steroid in which the hydroxy group at position 17 has a β-configuration.,
CHEBI:35489,organic disulfide,Compounds of structure RSSR in which R and R' are organic groups.,
CHEBI:35491,L-cystine zwitterion,,
CHEBI:35759,1-monoglyceride,A monoglyceride in which the acyl substituent is located at position 1.,
CHEBI:35899,crotonate,The conjugate base of crotonic acid; used by some bacterial species as a carbon and energy source.,
CHEBI:35924,peroxol,"Monosubstitution products of hydrogen peroxide HOOH, having the skeleton ROOH, in which R is any organyl group.",
CHEBI:36234,chenodeoxycholate,Conjugate base of chenodeoxycholic acid; major species at pH 7.3.,
CHEBI:36242,3-(4-hydroxyphenyl)pyruvate,A 2-oxo monocarboxylic acid anion obtained by removal of a proton from the carboxylic acid group of 3-(4-hydroxyphenyl)pyruvic acid.,
CHEBI:36252,glycochenodeoxycholate,A <em>N</em>-acylglycinate that is the conjugate base of glycochenodeoxycholic acid.,
CHEBI:36257,taurocholate,An organosulfonate oxoanion that is the conjugate base of taurocholic acid.,
CHEBI:36261,taurodeoxycholate,An organosulfonate oxoanion that is the conjugate base of taurodeoxycholic acid.,
CHEBI:36498,galactosylceramide,Any of the cerebrosides in which the monosaccharide head group is galactose.,
CHEBI:36655,glyoxylate,The conjugate base of glyoxylic acid.,
CHEBI:36707,2-acetyl-1-alkyl-sn-glycero-3-phosphocholine,"A 2-acyl-1-alkyl-<em>sn</em>-glycero-3-phosphocholine where the 2-<em>O</em>-acyl group is specified as acetyl; a potent phospholipid activator and mediator of many leukocyte functions, including platelet aggregation, inflammation, and anaphylaxis.",
CHEBI:36713,"5alpha-androstane-3alpha,17beta-diol","The 5α-stereoisomer of androstane-3α,17β-diol.",
CHEBI:36836,3beta-hydroxy steroid,A 3-hydroxy steroid in which the 3-hydroxy substituent is in the  β-position.,
CHEBI:37257,phytanate,"A branched-chain saturated fatty acid anion that is the conjugate base of phytanic acid, arising from deprotonation of the carboxylic acid group.",
CHEBI:37448,2-dehydro-3-deoxy-L-fuconate,,
CHEBI:37563,CTP(4-),A nucleoside triphosphate(4−) obtained by global deprotonation of the triphosphate OH groups of CTP; major species present at pH 7.3.,
CHEBI:37565,GTP(4-),A nucleoside triphosphate(4−) obtained by global deprotonation of the triphosphate OH groups of GTP; major species present at pH 7.3.,
CHEBI:37568,dTTP(4-),A 2'-deoxyribonucleoside 5'-triphosphate(4−) obtained by deprotonation of the four triphosphate OH groups of dTTP; major species at pH 7.3.,
CHEBI:37575,thiamine(1+) monophosphate(2-),"An organophosphate oxoanion that is the conjugate base of thiamine(1+) monophosphate(1−), arising from the deprotonation of the phosphate group. Major microspecies at pH 7.3.",
CHEBI:37721,D-fructofuranose,A fructofuranose that has <small>D</small> configuration.,
CHEBI:38290,L-ascorbate,"The <small>L</small>-enantiomer of ascorbate and conjugate base of <small>L</small>-ascorbic acid, arising from selective deprotonation of the 3-hydroxy group. Required for a range of essential metabolic reactions in all animals and plants.",
CHEBI:41509,cholesteryl linoleate,"The (9<i>Z</i>,12<i>Z</i>)-stereoisomer of cholesteryl octadeca-9,12-dienoate.",
CHEBI:4167,D-glucopyranose,A glucopyranose having <small>D</small>-configuration.,
CHEBI:41847,"1,2-dioctadecanoyl-sn-glycerol","A 1,2-diacyl-<em>sn</em>-glycerol where both acyl groups are specified as octadecanoyl.",
CHEBI:42534,epitestosterone,An androstanoid that is the <em>C</em>-17 epimer of testosterone.,
CHEBI:42977,25-hydroxycholesterol,,
CHEBI:43474,hydrogenphosphate,A phosphate ion that is the conjugate base of dihydrogenphosphate.,
CHEBI:44811,2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine,"A 2-acetyl-1-alkyl-<em>sn</em>-glycero-3-phosphocholine betaine which has hexadecyl as the alkyl group. PAF is a potent phospholipid activator and mediator of many leukocyte functions, including platelet aggregation, inflammation, and anaphylaxis.",
CHEBI:456215,adenosine 5'-monophosphate(2-),A nucleoside 5'-monophosphate(2−) that results from the removal of two protons from the phosphate group of adenosine 5'-monophosphate (AMP).,
CHEBI:456216,ADP(3-),A nucleoside 5'-diphosphate(3−) arising from deprotonation of all three diphosphate OH groups of adenosine 5'-diphosphate (ADP); major species present at pH 7.3.,
CHEBI:45815,N-octanoylsphingosine,An <em>N</em>-acylsphingosine in which the ceramide <em>N</em>-acyl group is specified as octanoyl.,
CHEBI:46398,UTP(4-),A nucleoside triphosphate(4−) obtained by global deprotonation of the triphosphate OH groups of UTP; major species present at pH 7.3.,
CHEBI:46858,L-tyrosine residue,,
CHEBI:46898,cholesteryl oleate,The (<i>Z</i>)-stereoisomer of  cholesteryl octadec-9-enoate.,
CHEBI:46911,L-ornithinium(1+),A polar amino acid zwitterion of <small>L</small>-ornithine.,
CHEBI:46979,N-acetylsphingosine,A <em>N</em>-acylsphingosine that has an acetamido group at position 2.,
CHEBI:47777,"1,3-diglyceride",,
CHEBI:47788,3-oxo steroid,Any oxo steroid where an oxo substituent is located at position 3.,
CHEBI:48775,cadmium(2+),,
CHEBI:48828,cobalt(2+),,
CHEBI:48939,"(25R)-5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol",,
CHEBI:48940,"(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al","The (25<i>R</i>)-diastereomer of 3α,7α,12α-trihydroxy-5β-cholestan-26-al.",
CHEBI:49172,"1,2-diglyceride",,
CHEBI:49547,caesium(1+),,
CHEBI:49713,lithium(1+),,
CHEBI:49786,nickel(2+),A nickel cation in which the nickel carries a double positive charge.,
CHEBI:49847,rubidium(1+),,
CHEBI:49883,tetra-mu3-sulfido-tetrairon,An Fe<small><sub>4</sub></small>S<small><sub>4</sub></small> iron-sulfur cluster in which each sulfur is attached to three of the iron atoms.,
CHEBI:50004,cis-stilbene oxide,,
CHEBI:50014,"(R,R)-hydrobenzoin",,
CHEBI:50058,L-cystine residue,A cystine residue in which both stereocentres have <small>L</small> (= <i>R</i>) configuration.,
CHEBI:50169,brexanolone,A 3-hydroxy-5α-pregnan-20-one in which the hydroxy group at position 3 has α-configuration. It is a metabolite of the sex hormone progesterone and used for the treatment of postpartum depression in women.,
CHEBI:507393,taurine zwitterion,The zwitterion formed from taurine by transfer of a proton from the sulfonyl to the amino group.  It is the major species existing at physiological pH.,
CHEBI:52323,"1,2-dioleoylglycerol",,
CHEBI:52333,"1,2-dioleoyl-sn-glycerol","A 1,2-diacyl-<em>sn</em>-glycerol in which the acyl groups at positions 1 and 2 are specified as oleoyl.",
CHEBI:52392,2-arachidonoylglycerol,An endocannabinoid and an endogenous agonist of the cannabinoid receptors (CB1 and CB2). It is an ester formed from omega-6-arachidonic acid and glycerol.,
CHEBI:52639,N-acylsphingosine,"The parent compounds of the ceramide family, composed of sphingosine having an unspecified fatty acyl group attached to the nitrogen.",
CHEBI:52961,N-tetracosanoylsphinganine,"An <em>N</em>-(1,2-saturated acyl)sphinganine having a tetracosanoyl group attached to the nitrogen atom.",
CHEBI:52962,N-hexacosanoylsphinganine,A dihydroceramide compound having a hexacosanoyl group attached to the nitrogen atom.,
CHEBI:533015,"3,3',5-triiodo-L-thyronine zwitterion","The amino acid zwitterion formed from 3,3',5-triiodo-<small>L</small>-thyronine by tranfer of a proton from the carboxy group to the amino group. It is the major species at pH 7.3.",
